# hebcal yomtov cache
# startYear=2026 years=100 israel=on
date,name
2049-04-23,"פסח ז׳"
2049-06-06,"שבועות"
2049-09-27,"ראש השנה 5810"
2049-09-28,"ראש השנה ב׳"
2049-10-06,"יום כיפור"
2049-10-11,"סוכות א׳"
2049-10-18,"שמיני עצרת"
2050-04-07,"פסח א׳"
2050-04-13,"פסח ז׳"
2050-05-27,"שבועות"
2050-09-17,"ראש השנה 5811"
2050-09-18,"ראש השנה ב׳"
2050-09-26,"יום כיפור"
2050-10-01,"סוכות א׳"
2050-10-08,"שמיני עצרת"
2051-03-28,"פסח א׳"
2051-04-03,"פסח ז׳"
2051-05-17,"שבועות"
2051-09-07,"ראש השנה 5812"
2051-09-08,"ראש השנה ב׳"
2051-09-16,"יום כיפור"
2051-09-21,"סוכות א׳"
2051-09-28,"שמיני עצרת"
2052-04-14,"פסח א׳"
2052-04-20,"פסח ז׳"
2052-06-03,"שבועות"
2052-09-24,"ראש השנה 5813"
2052-09-25,"ראש השנה ב׳"
2052-10-03,"יום כיפור"
2052-10-08,"סוכות א׳"
2052-10-15,"שמיני עצרת"
2053-04-03,"פסח א׳"
2053-04-09,"פסח ז׳"
2053-05-23,"שבועות"
2053-09-13,"ראש השנה 5814"
2053-09-14,"ראש השנה ב׳"
2053-09-22,"יום כיפור"
2053-09-27,"סוכות א׳"
2053-10-04,"שמיני עצרת"
2054-04-23,"פסח א׳"
2054-04-29,"פסח ז׳"
2054-06-12,"שבועות"
2054-10-03,"ראש השנה 5815"
2054-10-04,"ראש השנה ב׳"
2054-10-12,"יום כיפור"
2054-10-17,"סוכות א׳"
2054-10-24,"שמיני עצרת"
2055-04-13,"פסח א׳"
2055-04-19,"פסח ז׳"
2055-06-02,"שבועות"
2055-09-23,"ראש השנה 5816"
2055-09-24,"ראש השנה ב׳"
2055-10-02,"יום כיפור"
2055-10-07,"סוכות א׳"
2055-10-14,"שמיני עצרת"
2056-04-01,"פסח א׳"
2056-04-07,"פסח ז׳"
2056-05-21,"שבועות"
2056-09-11,"ראש השנה 5817"
2056-09-12,"ראש השנה ב׳"
2056-09-20,"יום כיפור"
2056-09-25,"סוכות א׳"
2056-10-02,"שמיני עצרת"
2057-04-19,"פסח א׳"
2057-04-25,"פסח ז׳"
2057-06-08,"שבועות"
2057-09-29,"ראש השנה 5818"
2057-09-30,"ראש השנה ב׳"
2057-10-08,"יום כיפור"
2057-10-13,"סוכות א׳"
2057-10-20,"שמיני עצרת"
2058-04-09,"פסח א׳"
2058-04-15,"פסח ז׳"
2058-05-29,"שבועות"
2058-09-19,"ראש השנה 5819"
2058-09-20,"ראש השנה ב׳"
2058-09-28,"יום כיפור"
2058-10-03,"סוכות א׳"
2058-10-10,"שמיני עצרת"
2059-03-29,"פסח א׳"
2059-04-04,"פסח ז׳"
2059-05-18,"שבועות"
2059-09-08,"ראש השנה 5820"
2059-09-09,"ראש השנה ב׳"
2059-09-17,"יום כיפור"
2059-09-22,"סוכות א׳"
2059-09-29,"שמיני עצרת"
2060-04-15,"פסח א׳"
2060-04-21,"פסח ז׳"
2060-06-04,"שבועות"
2060-09-25,"ראש השנה 5821"
2060-09-26,"ראש השנה ב׳"
2060-10-04,"יום כיפור"
2060-10-09,"סוכות א׳"
2060-10-16,"שמיני עצרת"
2061-04-05,"פסח א׳"
2061-04-11,"פסח ז׳"
2061-05-25,"שבועות"
2061-09-15,"ראש השנה 5822"
2061-09-16,"ראש השנה ב׳"
2061-09-24,"יום כיפור"
2061-09-29,"סוכות א׳"
2061-10-06,"שמיני עצרת"
2062-04-25,"פסח א׳"
2062-05-01,"פסח ז׳"
2062-06-14,"שבועות"
2062-10-05,"ראש השנה 5823"
2062-10-06,"ראש השנה ב׳"
2062-10-14,"יום כיפור"
2062-10-19,"סוכות א׳"
2062-10-26,"שמיני עצרת"
2063-04-14,"פסח א׳"
2063-04-20,"פסח ז׳"
2063-06-03,"שבועות"
2063-09-24,"ראש השנה 5824"
2063-09-25,"ראש השנה ב׳"
2063-10-03,"יום כיפור"
2063-10-08,"סוכות א׳"
2063-10-15,"שמיני עצרת"
2064-04-01,"פסח א׳"
2064-04-07,"פסח ז׳"
2064-05-21,"שבועות"
2064-09-11,"ראש השנה 5825"
2064-09-12,"ראש השנה ב׳"
2064-09-20,"יום כיפור"
2064-09-25,"סוכות א׳"
2064-10-02,"שמיני עצרת"
2065-04-21,"פסח א׳"
2065-04-27,"פסח ז׳"
2065-06-10,"שבועות"
2065-10-01,"ראש השנה 5826"
2065-10-02,"ראש השנה ב׳"
2065-10-10,"יום כיפור"
2065-10-15,"סוכות א׳"
2065-10-22,"שמיני עצרת"
2066-04-10,"פסח א׳"
2066-04-16,"פסח ז׳"
2066-05-30,"שבועות"
2066-09-20,"ראש השנה 5827"
2066-09-21,"ראש השנה ב׳"
2066-09-29,"יום כיפור"
2066-10-04,"סוכות א׳"
2066-10-11,"שמיני עצרת"
2067-03-31,"פסח א׳"
2067-04-06,"פסח ז׳"
2067-05-20,"שבועות"
2067-09-10,"ראש השנה 5828"
2067-09-11,"ראש השנה ב׳"
2067-09-19,"יום כיפור"
2067-09-24,"סוכות א׳"
2067-10-01,"שמיני עצרת"
2068-04-17,"פסח א׳"
2068-04-23,"פסח ז׳"
2068-06-06,"שבועות"
2068-09-27,"ראש השנה 5829"
2068-09-28,"ראש השנה ב׳"
2068-10-06,"יום כיפור"
2068-10-11,"סוכות א׳"
2068-10-18,"שמיני עצרת"
2069-04-06,"פסח א׳"
2069-04-12,"פסח ז׳"
2069-05-26,"שבועות"
2069-09-16,"ראש השנה 5830"
2069-09-17,"ראש השנה ב׳"
2069-09-25,"יום כיפור"
2069-09-30,"סוכות א׳"
2069-10-07,"שמיני עצרת"
2070-03-27,"פסח א׳"
2070-04-02,"פסח ז׳"
2070-05-16,"שבועות"
2070-09-06,"ראש השנה 5831"
2070-09-07,"ראש השנה ב׳"
2070-09-15,"יום כיפור"
2070-09-20,"סוכות א׳"
2070-09-27,"שמיני עצרת"
2071-04-14,"פסח א׳"
2071-04-20,"פסח ז׳"
2071-06-03,"שבועות"
